Respondent ID,Collector ID,Start Date,End Date,IP Address,Email Address,First Name,Last Name,Custom Data 1,Are you eighteen years of age or older?,,What is the state in which you live?,What is the city  in which you live?,What is your gender?,What is your age?  ,Do you feel tired or energized after being with people?,Do you prefer many relationships or a few close friends?,When you are alone does that drain you or energize you?,Do you prefer to work alone with few interruptions or on a team?,Do you prefer large group activities or small social events?,"On a scale of 1 to 5, 1 being not at all and 5 being an expert, how well do you think you can research topics on the internet?","Please rate on a scale of 1 to 5, 1 being not at all important and 5 being very important, how you important are the following to your learning?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Do you believe critical thinking can be taught?,"When visiting the doctor for a medical issue, what helps you understand your condition the very best?:",When putting together a piece of furniture what do you do first:,"When needing to remember particular points in a discussion, what helps you remember the best? ","If you were going to change the oil in your car and you had no prior knowledge of how to do it, would you:","When relaxing, would you be most likely to:","If you were going to buy a book for an 8-year-old child, would you buy:","You need to learn a new program for editing pictures, so you:","If you are going to the museum, would you be most likely to: ","You are going to an escape room, a scenario in which you use clues to get you out of a room in a certain amount of time. When the time starts, would you be most likely to:","At work there is a meeting that is about the past year’s performance. In leading the meeting, you:	","When it comes to planning for a vacation, you prefer to talk to someone who has:",When you are confused about what to do you:,You want to know how to spell the word conscience. Would you be most likely to?:,"At a restaurant, when ordering do you:","When learning from a text book, do you","When learning about history, which did you like best? "
10733973779,233154035,5/15/2019 19:01,5/15/2019 19:07,98.178.136.31,,,,,Yes,,Oklahoma,Tulsa,Female,32,Tired,Few,It energizes me,Alone,Small social events,5 - Expert,,,,,5 Very important,,,3,,,,,,,5 Very important,,,3,,,,,3,,,,,,,5 Very important,,,,,5 Very important,,,,,5 Very important,Yes,Read an information pack,Just start putting it together,Writing down the key points,Watch a video on the internet as you do it,Read a book,An adventure book with few images,Read the help topics in the program,Read information before you get there so you know exactly what you want to see,"Flip knobs, push buttons and flip over everything that is not nailed down","Use a strategy tool like SWOT that identifies though discussion the Strengths, Weaknesses, Opportunities and Threats for the next year’s performance",Experience,Use a pros and cons list,Write it out,Choose something you have had before,Take notes,Detailed stories
10733902396,233154035,5/15/2019 18:07,5/15/2019 18:13,174.21.138.8,,,,,Yes,,WA,Seattle,Female,35,Tired,Few,It energizes me,Alone,Small social events,4,,,,4,,,,,,5 Very important,,,,,5 Very important,,,,,5 Very important,,,,,5 Very important,,,,,5 Very important,,,,,5 Very important,,,,,5 Very important,Yes,View a diagram,Look at the diagrams,Real life examples,Watch a video on the internet as you do it,Listen to music,A science book with things to do,Look at diagrams on the internet,Get a map,"Flip knobs, push buttons and flip over everything that is not nailed down",Make a charts and graphs,Experience,Use a pros and cons list,Write it out,Look at the pictures,Take notes,"Maps, diagrams and charts"
10733683381,233154035,5/15/2019 15:40,5/15/2019 17:05,89.187.170.95,,,,,Yes,,South Carolina ,Fort Mill,Male,29,Energized,Few,It energizes me,On a team,Small social events,5 - Expert,,,,,5 Very important,,,3,,,,,,,5 Very important,,,,4,,,,,4,,,,,,5 Very important,,,,,5 Very important,,,,,5 Very important,Yes,Have the doctor describe what is wrong,Look at the diagrams,Writing down the key points,Watch a video on the internet as you do it,Listen to music,A science book with things to do,Read the help topics in the program,Just walk and enjoy whatever path you take,"Flip knobs, push buttons and flip over everything that is not nailed down","Use a strategy tool like SWOT that identifies though discussion the Strengths, Weaknesses, Opportunities and Threats for the next year’s performance",Experience,Discuss the situations with friends,See the word in your mind,Ask a friend or waiter what is best,Draw from previously -learned material,Detailed stories
10733376528,233154035,5/15/2019 12:57,5/15/2019 13:06,107.77.205.72,,,,,Yes,,Oregon,Chiloquin,Male,68,Energized,Few,It energizes me,Alone,Small social events,4,,,,4,,,,,4,,,,,4,,,2,,,,,,,,5 Very important,,,,4,,,,,4,,,,,,5 Very important,Yes,View a diagram,Look at the diagrams,Real life examples,Read an instruction manual,Listen to music,A science book with things to do,Read the help topics in the program,Get a map,Listen to the sounds and what people are saying,Recall past experiences and things that happen,Experience,Make a visual of what is going on and find patterns,Look it up in the dictionary,Choose something you have had before,Draw from previously -learned material,"Maps, diagrams and charts"
10732620174,233154035,5/15/2019 8:01,5/15/2019 8:37,12.183.161.34,,,,,Yes,,California,Redding,Female,32,Tired,Few,It energizes me,Alone,Small social events,4,,,,,5 Very important,,,,,5 Very important,,,,,5 Very important,,,,4,,,,,4,,,,,,5 Very important,,,,,5 Very important,,,,,5 Very important,Yes,Have the doctor describe what is wrong,Just start putting it together,Writing down the key points,Call a friend who has changed oil before,Read a book,A picture book,Listen to a video on line,Get a map,Listen to the sounds and what people are saying,Listen and discuss,Experience,Give attention to how the situation is affecting everyday life,Look it up in the dictionary,Choose something you have had before,Highlight the words,Detailed stories
10731202101,233154035,5/14/2019 21:23,5/14/2019 21:28,75.140.97.73,,,,,Yes,,California,Redding,Male,40,Energized,Many,It energizes me,Alone,Small social events,4,,,,,5 Very important,,,,,5 Very important,,,,,5 Very important,,,,,5 Very important,,,,,5 Very important,,,,,5 Very important,,,,,5 Very important,,,,,5 Very important,Yes,Have the doctor describe what is wrong,Read the instructions,Writing down the key points,Call a friend who has changed oil before,Listen to music,An adventure book with few images,Listen to a video on line,Get a map,"Find charts, puzzle pieces, look at pictures",Listen and discuss,Facts,Give attention to how the situation is affecting everyday life,Write it out,Ask a friend or waiter what is best,Discuss with other students,"Maps, diagrams and charts"
10731099077,233154035,5/14/2019 19:58,5/14/2019 20:05,107.77.205.124,,,,,Yes,,Alaska,Anchorage ,Female,51,Tired,Few,It energizes me,Alone,Small social events,4,,,,,5 Very important,,,,,5 Very important,,,,,5 Very important,,,,,5 Very important,,,,,5 Very important,,,,,5 Very important,,,,,5 Very important,,,,,5 Very important,Yes,Have the doctor describe what is wrong,Look at the diagrams,Real life examples,Watch a video on the internet as you do it,Listen to music,A science book with things to do,Just start using the program,Read information before you get there so you know exactly what you want to see,Listen to the sounds and what people are saying,Listen and discuss,Experience,Give attention to how the situation is affecting everyday life,Write it out,Read the descriptions,Draw from previously -learned material,Written Facts
10731037174,233154035,5/14/2019 19:07,5/14/2019 19:30,75.164.29.217,,,,,Yes,,Washington ,Brush Prairie,Female,52,Tired,Few,It drains me,Alone,Small social events,4,,2,,,,,,,4,,,,,4,,,,,,5 Very important,,,,,5 Very important,,,,,5 Very important,,,,,5 Very important,,,,,5 Very important,No,Have the doctor describe what is wrong,Read the instructions,Real life examples,Call a friend who has changed oil before,Go on a hike,An adventure book with few images,Just start using the program,Just walk and enjoy whatever path you take,"Flip knobs, push buttons and flip over everything that is not nailed down","Use a strategy tool like SWOT that identifies though discussion the Strengths, Weaknesses, Opportunities and Threats for the next year’s performance",Experience,Give attention to how the situation is affecting everyday life,Look it up in the dictionary,Choose something you have had before,Take notes,"Maps, diagrams and charts"
10730993382,233154035,5/14/2019 18:49,5/14/2019 19:05,73.67.224.143,,,,,Yes,,Washington,Vancouver,Female,51,Tired,Few,It energizes me,Alone,Small social events,4,,,,,5 Very important,,,3,,,,,,4,,1 - Not important,,,,,,2,,,,,,,,5 Very important,,,,,5 Very important,,,3,,,No,Have the doctor describe what is wrong,Read the instructions,Real life examples,Watch a video on the internet as you do it,Read a book,An adventure book with few images,Read the help topics in the program,Just walk and enjoy whatever path you take,"Look in books, signs and letter for clues",Recall past experiences and things that happen,Experience,Discuss the situations with friends,See the word in your mind,Read the descriptions,Take notes,Detailed stories
10730983808,233154035,5/14/2019 18:41,5/14/2019 20:56,216.67.123.26,,,,,Yes,,Alaska,Fairbanks,Female,72,Energized,Few,,,Small social events,2,,,,4,,,,3,,,,,,,5 Very important,,2,,,,,,,4,,,,,4,,,,,4,,,,,4,,No,Have the doctor describe what is wrong,Look at the diagrams,Writing down the key points,Read an instruction manual,Read a book,A book that ask questions,Read the help topics in the program,Get a map,,Listen and discuss,Experience,Discuss the situations with friends,Write it out,Read the descriptions,Highlight the words,Detailed stories
10730978848,233154035,5/14/2019 18:38,5/14/2019 18:46,75.174.28.139,,,,,Yes,,Idaho ,Idaho Falls ,Male,27,Tired,Few,It energizes me,Alone,Small social events,4,,,3,,,,,,4,,,,,,5 Very important,,,,,5 Very important,,,,,5 Very important,,,,,5 Very important,,,,,5 Very important,,,,,5 Very important,Yes,Have the doctor describe what is wrong,Look at the diagrams,Real life examples,Watch a video on the internet as you do it,Listen to music,An adventure book with few images,Read the help topics in the program,Get a map,"Find charts, puzzle pieces, look at pictures",Recall past experiences and things that happen,Experience,Discuss the situations with friends,Look it up in the dictionary,Read the descriptions,Highlight the words,"Maps, diagrams and charts"
10730917653,233154035,5/14/2019 18:01,5/14/2019 18:09,69.5.107.76,,,,,Yes,,Oregon ,Molalla ,Female,53,Energized,Many,It energizes me,On a team,Small social events,3,,,,,5 Very important,,,,,5 Very important,,,,4,,,,3,,,,,,,5 Very important,,,,4,,,,3,,,,,,,5 Very important,Yes,View on a human body model,Look at the diagrams,Writing down the key points,Call a friend who has changed oil before,Read a book,An adventure book with few images,Read the help topics in the program,Read information before you get there so you know exactly what you want to see,Listen to the sounds and what people are saying,Listen and discuss,Experience,Discuss the situations with friends,Write it out,Read the descriptions,Highlight the words,Detailed stories
10730878937,233154035,5/14/2019 17:39,5/14/2019 17:51,184.252.0.203,,,,,Yes,,Washington,Washougal,Female,47,Energized,Few,It energizes me,On a team,Small social events,3,,,,4,,,,,4,,,,,,5 Very important,,,,4,,,,,4,,,,,4,,,,,4,,,,,4,,Yes,Have the doctor describe what is wrong,Look at the diagrams,Writing down the key points,Watch a video on the internet as you do it,Go on a hike,An adventure book with few images,Look at diagrams on the internet,Get a map,"Find charts, puzzle pieces, look at pictures",Recall past experiences and things that happen,Experience,Give attention to how the situation is affecting everyday life,Look it up in the dictionary,Read the descriptions,Take notes,"Maps, diagrams and charts"
10730877700,233154035,5/14/2019 17:38,5/14/2019 17:44,64.85.190.38,,,,,Yes,,North Carolina,Franklin,Female,66,Energized,Few,It energizes me,On a team,Small social events,4,,,,,5 Very important,,,,4,,,,,4,,,,,4,,,,,4,,,,,4,,,,,4,,,,,4,,Yes,Have the doctor describe what is wrong,Read the instructions,Writing down the key points,Watch a video on the internet as you do it,Read a book,An adventure book with few images,Look at diagrams on the internet,Just walk and enjoy whatever path you take,"Look in books, signs and letter for clues",Listen and discuss,Experience,Discuss the situations with friends,Write it out,Read the descriptions,Highlight the words,Detailed stories
10730661760,233154035,5/14/2019 15:41,5/14/2019 15:49,63.140.90.62,,,,,Yes,,Alaska,Anchorage,Female,78,Energized,Many,It energizes me,On a team,Small social events,3,,,,,5 Very important,,,,,5 Very important,,,,,5 Very important,,,,,5 Very important,,,,,5 Very important,,,3,,,,,,,5 Very important,,,,,5 Very important,Yes,Have the doctor describe what is wrong,Get someone who can help you,Talk with others who were in the discussion,Watch a video on the internet as you do it,Read a book,A book that ask questions,Read the help topics in the program,Read information before you get there so you know exactly what you want to see,"Look in books, signs and letter for clues","Use a strategy tool like SWOT that identifies though discussion the Strengths, Weaknesses, Opportunities and Threats for the next year’s performance",Facts,Discuss the situations with friends,Look it up in the dictionary,Read the descriptions,Highlight the words,Detailed stories
10730484912,233154035,5/14/2019 14:26,5/14/2019 14:27,174.199.37.17,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10730390893,233154035,5/14/2019 13:51,5/14/2019 14:01,69.36.169.135,,,,,Yes,,Nevada,Battle Mountain,Female,67,Energized,Many,It energizes me,Alone,Small social events,4,,,,,5 Very important,,,,,5 Very important,,,,,5 Very important,,,,,5 Very important,,,,,5 Very important,,,,,5 Very important,,,,,5 Very important,,,,,5 Very important,Yes,Have the doctor describe what is wrong,Read the instructions,Writing down the key points,Watch a video on the internet as you do it,Listen to music,An adventure book with few images,Just start using the program,Just walk and enjoy whatever path you take,"Flip knobs, push buttons and flip over everything that is not nailed down","Use a strategy tool like SWOT that identifies though discussion the Strengths, Weaknesses, Opportunities and Threats for the next year’s performance",Facts,Use a pros and cons list,Sound it out,Read the descriptions,Take notes,Written Facts
10730357151,233154035,5/14/2019 13:41,5/14/2019 14:26,69.5.106.77,,,,,Yes,,Oregon,Molalla,Female,73,Energized,Few,It energizes me,Alone,Small social events,4,,,,,5 Very important,,,,,5 Very important,,,,,5 Very important,,,,,5 Very important,,,,,5 Very important,,,,,5 Very important,,,,4,,,,,,5 Very important,Yes,Have the doctor describe what is wrong,Read the instructions,Real life examples,Read an instruction manual,Read a book,A science book with things to do,Listen to a video on line,Just walk and enjoy whatever path you take,"Look in books, signs and letter for clues",Listen and discuss,Experience,Give attention to how the situation is affecting everyday life,See the word in your mind,Read the descriptions,Draw from previously -learned material,Detailed stories
10730346698,233154035,5/14/2019 13:38,5/14/2019 13:43,24.237.120.148,,,,,Yes,,Alaska,Fairbanks,Female,55,Tired,Few,It energizes me,Alone,Small social events,4,,,,,5 Very important,,,3,,,,,,,5 Very important,,,,,5 Very important,,,,,5 Very important,,,,,5 Very important,,,,,5 Very important,,,,,5 Very important,Yes,Have the doctor describe what is wrong,Look at the diagrams,Writing down the key points,Read an instruction manual,Read a book,A science book with things to do,Just start using the program,Just walk and enjoy whatever path you take,"Flip knobs, push buttons and flip over everything that is not nailed down",Make a charts and graphs,Experience,Give attention to how the situation is affecting everyday life,Look it up in the dictionary,Read the descriptions,Highlight the words,Detailed stories
10730341758,233154035,5/14/2019 13:35,5/14/2019 13:44,73.166.100.108,,,,,Yes,,Texas,Houston,Female,39,Tired,Few,It energizes me,Alone,Small social events,4,,,,,5 Very important,,,,,5 Very important,,,,,5 Very important,,,,4,,,,,,5 Very important,,,,,5 Very important,,,,4,,,,,4,,Yes,Have the doctor describe what is wrong,Read the instructions,Real life examples,Watch a video on the internet as you do it,Listen to music,A picture book,Listen to a video on line,Get a map,"Find charts, puzzle pieces, look at pictures",Make a charts and graphs,Facts,Discuss the situations with friends,Look it up in the dictionary,Choose something you have had before,Take notes,Detailed stories
10730279609,233154035,5/14/2019 13:16,5/14/2019 13:25,107.77.205.221,,,,,Yes,,Ak,Anchorage,Male,34,Energized,Few,It energizes me,On a team,Small social events,4,,,,4,,1 - Not important,,,,,,,3,,,,,3,,,,,,,5 Very important,,,,,5 Very important,,,,4,,,,,4,,Yes,Have the doctor describe what is wrong,Read the instructions,Real life examples,Watch a video on the internet as you do it,Go on a hike,A book that ask questions,Listen to a video on line,Read information before you get there so you know exactly what you want to see,"Find charts, puzzle pieces, look at pictures",Make a charts and graphs,Experience,Give attention to how the situation is affecting everyday life,See the word in your mind,Read the descriptions,Draw from previously -learned material,Detailed stories
10730277059,233154035,5/14/2019 13:15,5/14/2019 13:19,24.22.118.22,,,,,Yes,,Oregon,Beaverton,Male,25,Tired,Few,It energizes me,Alone,Small social events,4,,,,4,,,,,4,,,,3,,,,,,,5 Very important,,,3,,,,,,4,,,,,4,,,,,,5 Very important,Yes,Have the doctor describe what is wrong,Just start putting it together,Writing down the key points,Watch a video on the internet as you do it,Listen to music,A science book with things to do,Just start using the program,Just walk and enjoy whatever path you take,"Flip knobs, push buttons and flip over everything that is not nailed down",Listen and discuss,Experience,Give attention to how the situation is affecting everyday life,Sound it out,Look at the pictures,Take notes,Detailed stories
10730276761,233154035,5/14/2019 13:15,5/14/2019 13:21,107.77.205.68,,,,,Yes,,Oregon ,Roseburg ,Female,47,Tired,Few,It energizes me,Alone,Small social events,3,,,,4,,,,3,,,,,,4,,,,3,,,,,,,5 Very important,,,,4,,,,,4,,,,,4,,Yes,View a diagram,Look at the diagrams,Writing down the key points,Call a friend who has changed oil before,Read a book,A science book with things to do,Look at diagrams on the internet,Just walk and enjoy whatever path you take,"Find charts, puzzle pieces, look at pictures","Use a strategy tool like SWOT that identifies though discussion the Strengths, Weaknesses, Opportunities and Threats for the next year’s performance",Visual aids,Discuss the situations with friends,Look it up in the dictionary,Look at the pictures,Take notes,Detailed stories
10730138499,233154035,5/14/2019 12:30,5/14/2019 12:37,107.77.205.50,,,,,Yes,,Oregon,Molalla ,Male,52,Tired,Few,It energizes me,Alone,Small social events,3,,,,4,,,,3,,,,,,4,,,,,4,,,,,4,,,,3,,,,,3,,,,,3,,,Yes,Have the doctor describe what is wrong,Look at the diagrams,Writing down the key points,Look at a diagram of the process,Go on a hike,A science book with things to do,Read the help topics in the program,Just walk and enjoy whatever path you take,"Flip knobs, push buttons and flip over everything that is not nailed down",Listen and discuss,Experience,Discuss the situations with friends,Look it up in the dictionary,Read the descriptions,Highlight the words,Detailed stories
10730131010,233154035,5/14/2019 12:28,5/14/2019 12:29,104.220.75.141,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10730097899,233154035,5/14/2019 12:16,5/14/2019 12:29,174.87.119.121,,,,,Yes,,Currently California ,Redding,,40,Energized,Few,It energizes me,On a team,Large group activities,4,,,,,5 Very important,,,,,5 Very important,,,,,5 Very important,,,,,5 Very important,,,,,5 Very important,,,,4,,,,,4,,,,,,5 Very important,Yes,View on a human body model,Just start putting it together,Real life examples,Watch a video on the internet as you do it,Listen to music,A picture book,Listen to a video on line,Just walk and enjoy whatever path you take,"Flip knobs, push buttons and flip over everything that is not nailed down",Recall past experiences and things that happen,Experience,Give attention to how the situation is affecting everyday life,Look it up in the dictionary,Look at the pictures,Highlight the words,Detailed stories
10730085671,233154035,5/14/2019 12:13,5/14/2019 12:24,174.214.30.157,,,,,Yes,,California,Union City,Male,21,Energized,Few,It energizes me,On a team,Small social events,3,,,3,,,,,,4,,,,3,,,,,3,,,,,3,,,,,,,,,,,4,,,,,,5 Very important,Yes,Have the doctor describe what is wrong,Read the instructions,Real life examples,Watch a video on the internet as you do it,Listen to music,An adventure book with few images,Listen to a video on line,Just walk and enjoy whatever path you take,"Flip knobs, push buttons and flip over everything that is not nailed down","Use a strategy tool like SWOT that identifies though discussion the Strengths, Weaknesses, Opportunities and Threats for the next year’s performance",Experience,Discuss the situations with friends,Write it out,Look at the pictures,Discuss with other students,Discussing the subject with others
10730076438,233154035,5/14/2019 12:10,5/14/2019 12:18,71.93.35.242,,,,,Yes,,California,Redding,Male,37,Energized,Few,It drains me,On a team,Small social events,4,,,,4,,,,,4,,,2,,,,,2,,,,,,3,,,,,,,5 Very important,,,,,5 Very important,,,,,5 Very important,Yes,View a diagram,Read the instructions,Writing down the key points,Watch a video on the internet as you do it,Listen to music,A science book with things to do,Just start using the program,Get an audio device that tells you about each exhibit as you walk through,"Flip knobs, push buttons and flip over everything that is not nailed down",Make a charts and graphs,Experience,Give attention to how the situation is affecting everyday life,Write it out,Ask a friend or waiter what is best,Highlight the words,Detailed stories
10730064876,233154035,5/14/2019 12:06,5/14/2019 12:10,71.205.249.190,,,,,Yes,,Colorado,Denver,Male,27,Energized,Few,It drains me,Alone,Large group activities,5 - Expert,,,,,5 Very important,,,,4,,,,,4,,,,3,,,,,,4,,,,,4,,,,,,5 Very important,,,,4,,Yes,Read an information pack,Get someone who can help you,Writing down the key points,Watch a video on the internet as you do it,Listen to music,A book that ask questions,Listen to a video on line,Just walk and enjoy whatever path you take,"Flip knobs, push buttons and flip over everything that is not nailed down","Use a strategy tool like SWOT that identifies though discussion the Strengths, Weaknesses, Opportunities and Threats for the next year’s performance",Experience,Discuss the situations with friends,Look it up in the dictionary,Ask a friend or waiter what is best,Take notes,Written Facts
10730028321,233154035,5/14/2019 11:54,5/14/2019 12:00,63.117.208.130,,,,,Yes,,Rhode Island,West Warwick,Male,26,Energized,Many,It drains me,On a team,Large group activities,3,,,,,5 Very important,,,,4,,,,3,,,,2,,,,,,3,,,,,,4,,,,3,,,,,,4,,Yes,Have the doctor describe what is wrong,Read the instructions,Writing down the key points,Watch a video on the internet as you do it,Listen to music,An adventure book with few images,Just start using the program,Read information before you get there so you know exactly what you want to see,"Flip knobs, push buttons and flip over everything that is not nailed down",Listen and discuss,Experience,Discuss the situations with friends,Look it up in the dictionary,Ask a friend or waiter what is best,Highlight the words,Detailed stories
10730023651,233154035,5/14/2019 11:52,5/14/2019 12:17,107.77.205.109,,,,,Yes,,Oregon,Eugene,Male,26,Tired,Few,It drains me,Alone,Small social events,5 - Expert,,,,4,,,,3,,,,,,,5 Very important,1 - Not important,,,,,,,,,5 Very important,,,3,,,,,,4,,,,,4,,Yes,Have the doctor describe what is wrong,Look at the diagrams,Real life examples,Watch a video on the internet as you do it,Listen to music,An adventure book with few images,Listen to a video on line,Just walk and enjoy whatever path you take,"Look in books, signs and letter for clues",Recall past experiences and things that happen,Experience,Make a visual of what is going on and find patterns,Write it out,Read the descriptions,Highlight the words,Detailed stories
10729872187,233154035,5/14/2019 11:05,5/14/2019 11:08,73.76.198.242,,,,,Yes,,Texas,Houston,Male,28,Energized,Few,It energizes me,On a team,Small social events,5 - Expert,,,,4,,,,3,,,,,3,,,,,,,5 Very important,,,,,5 Very important,,,3,,,,2,,,,,,3,,,Yes,Have the doctor describe what is wrong,Read the instructions,Real life examples,Watch a video on the internet as you do it,Listen to music,An adventure book with few images,Read the help topics in the program,Get a map,"Look in books, signs and letter for clues",Listen and discuss,Experience,Give attention to how the situation is affecting everyday life,Look it up in the dictionary,Read the descriptions,Take notes,Detailed stories
10729861276,233154035,5/14/2019 11:02,5/14/2019 11:08,207.55.44.50,,,,,Yes,,oregon,Junction City,Male,52,Energized,Many,It energizes me,On a team,Small social events,4,,,,,5 Very important,,,,4,,,,,4,,,,,,5 Very important,,,,,5 Very important,,,,4,,,,,4,,,,,,5 Very important,Yes,Read an information pack,Look at the diagrams,Real life examples,Call a friend who has changed oil before,Listen to music,An adventure book with few images,Look at diagrams on the internet,Get a map,"Look in books, signs and letter for clues","Use a strategy tool like SWOT that identifies though discussion the Strengths, Weaknesses, Opportunities and Threats for the next year’s performance",Facts,Give attention to how the situation is affecting everyday life,Look it up in the dictionary,Look at the pictures,Take notes,Detailed stories
10729840635,233154035,5/14/2019 10:54,5/14/2019 11:03,209.30.148.64,,,,,Yes,,TEXAS,Round Rock,Male,39,Energized,Few,It drains me,On a team,Small social events,5 - Expert,,,3,,,,,,4,,,,,4,,,,,,5 Very important,,,,,5 Very important,,,,,5 Very important,,,,4,,,,,,5 Very important,Yes,View on a human body model,Look at the diagrams,Real life examples,Watch a video on the internet as you do it,Go on a hike,An adventure book with few images,Listen to a video on line,Read information before you get there so you know exactly what you want to see,"Look in books, signs and letter for clues",Recall past experiences and things that happen,Experience,Discuss the situations with friends,Look it up in the dictionary,Read the descriptions,Highlight the words,Detailed stories
10729822846,233154035,5/14/2019 10:49,5/14/2019 10:49,174.226.141.209,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10729771811,233154035,5/14/2019 10:31,5/14/2019 10:37,104.36.254.18,,,,,Yes,,California,Fremont,Male,27,Tired,Few,It energizes me,Alone,Small social events,5 - Expert,,,,4,,,,,4,,,,,,5 Very important,,,3,,,,,,,5 Very important,,,,4,,,,,,5 Very important,,,,4,,Yes,Have the doctor describe what is wrong,Look at the diagrams,Real life examples,Watch a video on the internet as you do it,Go on a hike,An adventure book with few images,Just start using the program,Just walk and enjoy whatever path you take,Listen to the sounds and what people are saying,Make a charts and graphs,Experience,Give attention to how the situation is affecting everyday life,Look it up in the dictionary,Read the descriptions,Draw from previously -learned material,Detailed stories
10729754541,233154035,5/14/2019 10:26,5/14/2019 10:34,108.63.218.165,,,,,Yes,,"Alberta, Canada",Calgary,Female,27,Energized,Few,It energizes me,On a team,Small social events,5 - Expert,,,3,,,,,,4,,,,,4,,,,,,5 Very important,,,,,5 Very important,,,,,5 Very important,,,,,5 Very important,,,,,5 Very important,Yes,Have the doctor describe what is wrong,Look at the diagrams,"Draw, using color and symbols",Watch a video on the internet as you do it,Go on a hike,An adventure book with few images,Just start using the program,Just walk and enjoy whatever path you take,"Flip knobs, push buttons and flip over everything that is not nailed down",Listen and discuss,Experience,Discuss the situations with friends,Write it out,Read the descriptions,Take notes,Detailed stories
10729754337,233154035,5/14/2019 10:25,5/14/2019 10:30,174.26.169.123,,,,,Yes,,Arizona,Mesa,,30,Energized,Many,It energizes me,On a team,Small social events,4,,,,,5 Very important,,,,,5 Very important,,,,,5 Very important,,,,,5 Very important,,,,,5 Very important,,,,,5 Very important,,,,,5 Very important,,,,,5 Very important,Yes,Have the doctor describe what is wrong,Read the instructions,Writing down the key points,Watch a video on the internet as you do it,Listen to music,A science book with things to do,Listen to a video on line,Get a map,"Look in books, signs and letter for clues",Recall past experiences and things that happen,Experience,Discuss the situations with friends,Look it up in the dictionary,Read the descriptions,Highlight the words,Detailed stories
10729744423,233154035,5/14/2019 10:22,5/14/2019 10:23,75.19.5.181,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10729738831,233154035,5/14/2019 10:20,5/14/2019 10:29,172.58.12.44,,,,,Yes,,FL,Pembroke Pines ,Female,24,Tired,Few,It energizes me,Alone,Small social events,5 - Expert,,,,,5 Very important,,,,,5 Very important,,,,,5 Very important,,,,,5 Very important,,,,,5 Very important,,,,,5 Very important,,,,,5 Very important,,,,,5 Very important,Yes,View on a human body model,Look at the diagrams,"Draw, using color and symbols",Watch a video on the internet as you do it,Listen to music,A science book with things to do,Just start using the program,Just walk and enjoy whatever path you take,"Flip knobs, push buttons and flip over everything that is not nailed down",Make a charts and graphs,Visual aids,Make a visual of what is going on and find patterns,See the word in your mind,Choose something you have had before,Draw from previously -learned material,"Maps, diagrams and charts"
10729719282,233154035,5/14/2019 10:14,5/14/2019 10:20,162.245.201.182,,,,,Yes,,Texas,San Antonio,Female,26,Tired,Few,It energizes me,Alone,Small social events,5 - Expert,,,,,5 Very important,,,,4,,,,,4,,,,,4,,,,,4,,,,,,5 Very important,,,,,5 Very important,,,,,5 Very important,Yes,Read an information pack,Read the instructions,Real life examples,Watch a video on the internet as you do it,Listen to music,An adventure book with few images,Read the help topics in the program,Read information before you get there so you know exactly what you want to see,"Look in books, signs and letter for clues",Make a charts and graphs,Experience,Use a pros and cons list,See the word in your mind,Read the descriptions,Take notes,Written Facts
10729717508,233154035,5/14/2019 10:13,5/14/2019 10:19,68.97.9.185,,,,,Yes,,Oklahoma,Norman,Male,27,Tired,Few,It energizes me,On a team,Small social events,4,,,,,5 Very important,,,,,5 Very important,,,,,5 Very important,,,,4,,,,,,5 Very important,,,,,5 Very important,,,,,5 Very important,,,,,5 Very important,Yes,View a diagram,Just start putting it together,Writing down the key points,Call a friend who has changed oil before,Go on a hike,An adventure book with few images,Just start using the program,Just walk and enjoy whatever path you take,"Find charts, puzzle pieces, look at pictures",Listen and discuss,Experience,Give attention to how the situation is affecting everyday life,Look it up in the dictionary,Read the descriptions,Highlight the words,Detailed stories
10729712073,233154035,5/14/2019 10:11,5/14/2019 10:15,74.194.111.207,,,,,Yes,,Louisiana,Sulphur,Male,25,Energized,Few,It drains me,On a team,Small social events,4,,,,,5 Very important,,,,4,,,,3,,,,,,4,,,,,,5 Very important,,,,,5 Very important,,,3,,,,,,4,,Yes,Have the doctor describe what is wrong,Read the instructions,Talk with others who were in the discussion,Watch a video on the internet as you do it,Go on a hike,A science book with things to do,Listen to a video on line,Just walk and enjoy whatever path you take,"Look in books, signs and letter for clues","Use a strategy tool like SWOT that identifies though discussion the Strengths, Weaknesses, Opportunities and Threats for the next year’s performance",Experience,Give attention to how the situation is affecting everyday life,Look it up in the dictionary,Read the descriptions,Highlight the words,Detailed stories
